SMILES,Density,id
*CC(F)(F)CC(*)(C(F)(F)F)C(F)(F)F,1.88,125
*CCCCCCCCC(Cl)C(*)Cl,1.14,126
*CCCC(Cl)C(*)Cl,1.4,127
*CC/C=C(/*)C,1.12,128
*/C=C/C(C)C*,1.015,129
*/C=C/C(C*)CC,0.985,130
*CC(*)=C,1.07,131
*CC(*)C=C,0.901,132
*CC(C)/C=C(/*)C,0.88,133
*OC(*)C,1.1055,134
*OC(*)CC,1.05,135
*OC(*)CCC,1.0,136
*CCO*,1.203,137
*CC(C)O*,1.0031,138
*CC(CCl)O*,1.367,139
*CC(O*)C(F)(F)F,1.64,140
*CC(CC)O*,0.968,141
*CC(COC)O*,1.095,142
*CC(CCCC)O*,0.9475,143
*CC(O*)C(C)(C)C,0.995,144
*CC(COCC)O*,1.025,145
*CC(COCC=C)O*,1.048,146
*CC(COCCCC)O*,0.982,147
*CC(CCCCCC)O*,0.959,148
*CC(COCCCCCC)O*,0.966,149
*CC(COc1ccccc1)O*,1.272,150
*CC(COc1ccccc1Cl)O*,1.384,151
*OC(C)C(*)C,1.055,152
*CCCO*,1.14,153
*CC(C)(C)CO*,0.985,154
*CC(CO)(CO)CO*,1.28,155
*CC(CO*)(COCC)COCC,1.165,156
*CC(CCl)(CCl)CO*,1.41,157
*CCCCO*,1.02,158
*CCCCCCO*,1.06,159
*CCCCCCCCO*,1.03,160
*CCCCCCCCCO*,1.025,161
*CCCCCCCCCCO*,1.03,162
*Oc1ccc(*)cc1,1.4165,163
*OC1C(C)(C)C(*)C1(C)C,1.06,164
*CCOCO*,1.41,165
*CCCCOCO*,1.185,166
*CCCCCOCO*,1.14,167
*CCCCCCOCO*,1.08,168
*CCOCCOC(=O)CCCCCCCCC(=O)O*,1.128,169
*C(=O)OCCOC(=O)c1ccc(*)o1,1.433,170
*CCOCCOC(=O)c1cccc(C(=O)O*)c1,1.3165,171
*CCOC(=O)c1ccc(O*)cc1,1.39,172
*CCOc1ccc(C(=O)OCCOC(=O)c2ccc(O*)cc2)cc1,1.3631,173
*CCCCOc1ccc(C(=O)OCCOC(=O)c2ccc(O*)cc2)cc1,1.2973,174
*CCCCC(=O)NCc1ccc(CNC(=O)CCCCO*)cc1,1.178,175
*Oc1ccc(NC(=O)c2cccc(C(=O)Nc3ccc(*)cc3)c2)cc1,1.26,176
*Oc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(*)cc3)cc2)cc1,1.37,177
*CCCCOc1ccc(C(=O)OC(=O)c2ccc(O*)cc2)cc1,1.2835,178
*CCCCCCOc1ccc(C(=O)OC(=O)c2ccc(O*)cc2)cc1,1.233,179
*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,1.3658,180
*OC(*)CCCCCC,0.995,181
*CCOCCOC(=O)CCCCC(=O)O*,1.1918,182
*CCOC(=O)c1ccc(C(C)(CC)c2ccc(C(=O)O*)cc2)cc1,1.2,183
*c1ccc(C(=O)Nc2ccc(Oc3ccc(NC(=O)c4ccc(C5(*)OC(=O)c6ccccc65)cc4)cc3)cc2)cc1,1.287,184
*CC(O)COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1,1.2,185
*CC(O)COc1ccc(S(=O)(=O)c2ccc(O*)cc2)cc1,1.38,186
*OC(F)(F)C(F)(F)C(F)(F)C(*)(F)F,1.775,187
*CC(CCCCCCCCCC)O*,0.862,188
*CC1CC(*)OC(CCC)O1,1.1,189
*CCCCCCCCc1nnc(*)o1,1.21,190
*CCCCCCCCCc1nnc(*)o1,1.28,191
*CCCCCCCCCCc1nnc(*)o1,1.22,192
*c1ccc(Oc2ccc(-c3nnc(*)o3)cc2)cc1,1.3075,193
*c1ccc(C2(c3ccc(-c4nnc(*)o4)cc3)OC(=O)c3ccccc32)cc1,1.3195,194
*Oc1ccc(Oc2ccc(C(=O)c3ccc(*)cc3)cc2)cc1,1.2967,195
*Oc1cccc(S(=O)(=O)c2ccc(*)cc2)c1,1.3858,196
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(c4ccc(*)cc4)(C(F)(F)F)C(F)(F)F)cc3)cc2)cc1,1.43,197
*Oc1ccc(S(=O)(=O)c2ccc(-c3ccc(S(=O)(=O)c4ccc(Oc5ccc(C(C)(C)c6ccc(*)cc6)cc5)cc4)cc3)cc2)cc1,1.26,198
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(-c4ccc(*)cc4)cc3)cc2)cc1,1.2227611600000001,199
*Oc1ccc(Oc2ccc(S(=O)(=O)c3ccc(*)cc3)cc2)cc1,1.329,200
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(=O)c4ccc(*)cc4)cc3)cc2)cc1,1.317,201
*CC(CC)(CC)CO*,1.04,202
*CC(O*)C(C)C,1.025,203
*CCOCCOCCOC(=O)c1ccc(-c2ccc(C(=O)O*)cc2)cc1,1.3,204
*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)cc1,1.66,205
*CCOCCOC(=O)c1ccc(-c2ccc(C(=O)O*)cc2)cc1,1.32,206
*CCOCCOC(=O)c1ccc(C(=O)O*)cc1,1.5,207
*c1ccc(Oc2ccc(-c3cc(-c4ccccc4)c4cc(Oc5ccc6nc(*)cc(-c7ccccc7)c6c5)ccc4n3)cc2)cc1,1.174,208
*CC(C)(CC)CO*,0.966,209
*CC(C)(CO)CO*,1.144,210
*c1ccc2oc(*)nc2c1,1.638,211
*Oc1ccc(C(=O)c2ccc(C(=O)c3ccc(*)cc3)cc2)cc1,1.395,212
*Oc1ccc(-c2ccc(Oc3ccc(C(=O)c4cccc(C(=O)c5ccc(*)cc5)c4)cc3)cc2)cc1,1.374,213
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(=O)c4cccc(C(=O)c5ccc(*)cc5)c4)cc3)cc2)cc1,1.32,214
*/C=C/c1sc(*)c(OCCCC)c1OCCCC,1.36,215
*Oc1ccc(C(c2ccc(Oc3ccc(C(=O)c4ccccc4-c4ccccc4C(=O)c4ccc(*)cc4)cc3)cc2)(C(F)(F)F)C(F)(F)F)cc1,1.307,216
*Oc1ccc(Oc2ccc(C(=O)c3ccc(*)cc3)cc2)cc1C(C)(C)C,1.1365,217
*Oc1ccc(Oc2ccc(C(=O)c3ccc(*)cc3)cc2)cc1C,1.267,218
*c1c(C)cc(Cc2cc(C)c(N3C(=O)c4ccc(Oc5cccc6c(Oc7ccc8c(c7)C(=O)N(*)C8=O)cccc56)cc4C3=O)c(C)c2)cc1C,1.225,219
*c1cccc(Oc2ccc(-c3ccc(Oc4cccc(-n5c(=O)c6cc7c(=O)n(*)c(=O)c7cc6c5=O)c4)cc3)cc2)c1,1.47,220
*Oc1ccc(NC(=O)c2cccc(C(=O)Nc3ccc(Oc4ccc(C(c5ccc(*)cc5)(C(F)(F)F)C(F)(F)F)cc4)cc3)c2)cc1,1.63,221
*Oc1ccc(NC(=O)c2cc(C(=O)Nc3ccc(Oc4ccc(C(c5ccc(*)cc5)(C(F)(F)F)C(F)(F)F)cc4)cc3)cc(C(C)(C)C)c2)cc1,1.55,222
