SMILES,Density,id
*CCOC(=O)c1ccc(C(=O)O*)c2ccccc12,1.2851280195,10206
*CC(*)c1ccc(OCCC)cc1,1.0018647925,10207
*CC(*)(Cl)C(=O)OCCC,1.244,10208
*CCOC(=O)c1cccc2c(C(=O)O*)cccc12,1.291366146,10209
*CC(*)C(C)C=O,1.009,10210
*CCOC(=O)c1ccc(C(=O)O*)cc1,1.2700771855,10211
*CC(*)(Cl)C(=O)OC(C)CC,1.184,10212
*CC(*)C1CCCC1,0.8975350205,10214
*CC(*)c1ccc(COC)cc1,1.0437516900000001,10217
*Cc1ccc(C*)c(Cl)c1,1.225,10218
*Cc1ccc(C*)c(Br)c1,1.585,10219
*CCOC(=O)c1ccc(O*)cc1,1.246,10221
*CC(*)O,1.196681963,10222
*Oc1ccc(*)cc1,1.243,10223
*CC(*)c1ccc(C(C)CC)cc1,0.926925378,10224
*CC(*)c1ccc(OCC)cc1,1.0254395170000001,10225
*CC(*)c1ccc(C(C)C)cc1,0.9325950279999999,10228
*CC(*)c1ccc(OC)cc1,1.053543297,10230
*CC(*)c1ccc(OC)cc1C,1.039,10232
*Cc1ccc(C*)c(C#N)c1,0.877,10233
*NCc1cccc(CNC(=O)CCCCC(*)=O)c1,1.072,10234
*CC(*)(Cl)C(=O)OC(C)C,1.16,10236
*C(F)(F)c1ccc(C(*)(F)F)cc1,1.188,10237
*CC(*)(C)C(=O)OCCCl,1.268,10238
*[Si](*)(C)C1CCCCC1,1.312,10239
*CC(*)(Cl)C(=O)OCC,0.924,10240
*OCC1CCC(COC(=O)c2ccc(C(*)=O)cc2)CC1,1.156,10241
*CC(*)c1cccc(C)c1,0.9731786535,10242
*Cc1cc(C)c(C*)cc1C,0.974,10243
*OCC(O)COc1ccc(C(C)(C)c2ccc(*)cc2)cc1,1.014,10245
*CC(*)c1ccc(C)cc1,0.9654267519999999,10247
*CC(*)c1cc(F)ccc1F,1.2127617165000002,10248
*CC(*)c1ccccc1CC,0.9690601445,10249
*CC(*)c1cc(C)cc(C)c1,0.946018646,10250
*CC(*)(C)C(=O)OC1CCCCC1,0.9978392304999999,10251
*CC(*)c1ccccn1,1.0667509405,10252
*CC(*)(C)C(=O)OC,1.0555279215,10254
*CC1CC(*)OCO1,1.165,10255
*CC(*)c1ccccc1F,1.119881108,10256
*CC(*)c1c(F)c(F)c(F)c(F)c1F,1.4707633565,10257
*CC(*)c1ccc(C)c(C)c1,0.9450283665,10261
*CC(*)c1cc(C)ccc1F,1.065609307,10262
*OCC(O)COc1cccc(NC(=O)CCCC(=O)Nc2cccc(*)c2)c1,1.237,10263
*CC(*)c1ccc(C)cc1C,0.9481917135,10264
*CC(*)c1ccc(C(=O)OC)cc1,1.110785684,10265
*CC(*)c1ccc(Cl)c(C)c1,1.1115766585,10266
*CC(*)(Cl)C(=O)OC1CCCCC1,1.18,10267
*NCc1ccc(CNC(=O)CCCCCCCCC(*)=O)cc1,1.09,10268
*OC(=O)Oc1ccc(Sc2ccc(*)cc2)cc1,1.322,10269
*CC(*)c1ccc(Cl)cc1,1.1661440285,10270
*[Si](*)(C)c1ccccc1,1.929,10271
*C(F)(F)C1(F)C(F)(F)C(*)(F)C(F)(F)C1(F)F,1.047,10272
*OC(=O)Oc1ccc(C(C)(CC)c2ccc(*)cc2C)c(C)c1,1.204,10273
*CC(*)c1ccccc1Cl,1.1251191225000001,10274
*CC(*)(C)c1ccc(C)cc1,0.938847495,10278
*OC(=O)Oc1ccc(C(CCC)c2ccc(*)cc2)cc1,1.156,10280
*OCCOC(=O)c1ccc2cc(C(*)=O)ccc2c1,1.265,10281
*CC(*)c1cccc(CO)c1,1.108,10282
*Oc1ccc(Oc2ccc(Oc3ccc4c(c3)C(=O)N(CCCCCCN3C(=O)c5ccc(*)cc5C3=O)C4=O)cc2)cc1,1.333,10283
